,LEAID,NAME,Graduation Rate,MZIP
450,400407,CITY Center for Collaborative Learning,0.9743589743589745,85701
451,400416,StarShine Academy,0.3,85008
452,400420,Pillar Charter School,0.4166666666666667,85021
453,400423,Legacy Education Group,0.6210526315789474,85207
454,400440,Chandler Preparatory Academy,1.0,85018
455,400450,Agua Fria Union High School District,0.950079660116835,85323
456,400520,Ajo Unified District,0.8666666666666667,85321
457,400610,Desert Heights Charter Schools,0.9705882352941176,85306
458,400614,MCCCD on behalf of Phoenix College Preparatory Academy,1.0,85281
459,400632,Cochise Community Development Corporation,0.5789473684210527,85635
460,400636,Blueprint Education,0.2114093959731543,85306
461,400655,Veritas Preparatory Academy,1.0,85018
462,400680,Amphitheater Unified District,0.8158123370981756,85705
463,400720,Antelope Union High School District,0.9361702127659576,85356
464,400747,Scottsdale Preparatory Academy,1.0,85018
465,400757,Arete Preparatory Academy,0.9824561403508772,85018
466,400760,Glendale Preparatory Academy,1.0,85018
467,400771,Blue Adobe Project,0.8571428571428571,85711
468,400778,Daisy Education Corporation dba Paragon Science Academy,0.75,85224
469,400790,Apache Junction Unified District,0.8478260869565217,85120
470,400816,Educational Options Foundation,0.1280193236714976,85282
471,400819,Anthem Preparatory Academy,1.0,85086
472,400821,Pima Prevention Partnership,0.4,85711
473,400851,Trivium Preparatory Academy,1.0,85018
474,400861,North Phoenix Preparatory Academy,1.0,85018
475,400880,Southwest Leadership Academy,0.25,89423
476,400909,Madison Highland Prep,0.96875,85258
477,400910,Ash Fork Joint Unified District,0.7647058823529411,86320
478,400946,Phoenix Collegiate Academy High LLC,0.7333333333333333,85040
479,400947,ASU Preparatory Academy - Casa Grande,0.9523809523809522,85193
480,401000,Bagdad Unified District,0.75,86321
481,401160,Bicentennial Union High School District,0.9090909090909092,85348
482,401180,Bisbee Unified District,0.9305555555555556,85603
483,401410,Buckeye Union High School District,0.927536231884058,85326
484,401460,Sierra Vista Unified District,0.9148148148148147,85635
485,401600,Camp Verde Unified District,0.8135593220338984,86322
486,401740,Casa Grande Union High School District,0.8307174887892377,85122
487,401760,Catalina Foothills Unified District,0.9502617801047122,85750
488,401870,Chandler Unified District #80,0.9239342435218724,85224
489,401940,Chinle Unified District,0.7137931034482758,86503
490,402320,Coolidge Unified District,0.7777777777777779,85128
491,402530,Douglas Unified District,0.9142011834319528,85607
492,402600,Duncan Unified District,0.9047619047619048,85534
493,402690,Dysart Unified District,0.9385188635305076,85374
494,402740,Mary C O'Brien Accommodation District,0.1470588235294117,85222
495,402860,Flagstaff Unified District,0.8585714285714287,86004
496,402920,Florence Unified School District,0.8410372040586246,85232
497,403010,Flowing Wells Unified District,0.888641425389755,85705
498,403040,Fountain Hills Unified District,0.9416058394160584,85268
499,403080,Fredonia-Moccasin Unified District,0.6875,86022
500,403200,Fort Thomas Unified District,0.9285714285714286,85536
501,403290,Ganado Unified School District,0.8699186991869918,86505
502,403310,Gila Bend Unified District,0.8125,85337
503,403400,Gilbert Unified District,0.9143801652892564,85296
504,403450,Glendale Union High School District,0.9002906976744185,85301
505,403500,Globe Unified District,0.859375,85501
506,403550,Grand Canyon Unified District,1.0,86023
507,403730,Hayden-Winkelman Unified District,0.8636363636363636,85292
508,403780,Higley Unified School District,0.9547079856972588,85295
509,403820,Holbrook Unified District,0.912087912087912,86025
510,403860,Maricopa County Regional District,0.0125944584382871,85017
511,403870,Humboldt Unified District,0.882183908045977,86314
512,403950,Baboquivari Unified School District #40,0.5645161290322581,85634
513,403990,J O Combs Unified School District,0.913793103448276,85140
514,404010,Joseph City Unified District,0.9666666666666668,86032
515,404060,Kayenta Unified School District #27,0.7978142076502732,86033
516,404280,Lake Havasu Unified District,0.9051094890510948,86403
